<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20211012,000000,367.2600000,368.8500000,362.2500000,364.1000000,56619460
GAZP,D,20211013,000000,365.2400000,365.4400000,352.7100000,362.7700000,102086460
GAZP,D,20211014,000000,366.4000000,369.7000000,364.3500000,367.0000000,59659170
GAZP,D,20211015,000000,368.3100000,369.3500000,366.6100000,367.7600000,35816900
GAZP,D,20211018,000000,365.0100000,366.4500000,360.1500000,363.5000000,42945850
GAZP,D,20211019,000000,364.9800000,368.8300000,362.2400000,368.8300000,51429080
GAZP,D,20211020,000000,367.9000000,370.7500000,365.5000000,369.9700000,39435100
GAZP,D,20211021,000000,368.0000000,370.1900000,360.8800000,363.3700000,46351220
GAZP,D,20211022,000000,361.3800000,364.1900000,357.4800000,358.1200000,48056440
GAZP,D,20211025,000000,359.9900000,365.8400000,356.6900000,364.8400000,57268410
GAZP,D,20211026,000000,365.0400000,369.3300000,362.5400000,364.8200000,51713180
GAZP,D,20211027,000000,363.2700000,365.4900000,361.1800000,362.1700000,30579360
GAZP,D,20211028,000000,360.9600000,362.0200000,351.6200000,353.2100000,86476220
GAZP,D,20211029,000000,351.1000000,352.6000000,345.4000000,350.1800000,74862900
GAZP,D,20211101,000000,350.3000000,359.3000000,350.3000000,359.1000000,46460760
GAZP,D,20211102,000000,359.1600000,360.0000000,351.2400000,352.4800000,42925940
GAZP,D,20211103,000000,350.5500000,353.8600000,346.6200000,353.0200000,37782790
GAZP,D,20211105,000000,352.0000000,354.8000000,349.2300000,350.6000000,25553970
GAZP,D,20211108,000000,353.0000000,356.3400000,348.3400000,351.4700000,39731410
GAZP,D,20211109,000000,351.0600000,353.6100000,346.9900000,349.4600000,31015520
GAZP,D,20211110,000000,349.8700000,351.2500000,344.2000000,345.8000000,35456770
GAZP,D,20211111,000000,346.9400000,348.4300000,343.8000000,347.4400000,40212180
GAZP,D,20211112,000000,346.8400000,347.1500000,331.0000000,333.6000000,127163510
GAZP,D,20211115,000000,333.8100000,341.8100000,333.6700000,340.3000000,64140420
GAZP,D,20211116,000000,341.4800000,342.8500000,331.6100000,336.7900000,64616650
GAZP,D,20211117,000000,336.0000000,351.8200000,334.8300000,349.9800000,79007960
GAZP,D,20211118,000000,350.0500000,359.3200000,342.2800000,345.5600000,101979450
GAZP,D,20211119,000000,348.2700000,350.7300000,334.2000000,337.6200000,95994240
GAZP,D,20211122,000000,334.9900000,335.6800000,316.6600000,319.2000000,151300550
GAZP,D,20211123,000000,316.4500000,341.7700000,310.6200000,341.7700000,150432770
GAZP,D,20211124,000000,343.8700000,348.0000000,332.7500000,338.3000000,93592790
GAZP,D,20211125,000000,340.0000000,343.0000000,335.7000000,337.5500000,48702100
GAZP,D,20211126,000000,325.0000000,332.0000000,320.1000000,326.0000000,103502140
GAZP,D,20211129,000000,335.0000000,345.3300000,331.9600000,339.2000000,99152930
GAZP,D,20211130,000000,332.4800000,342.5500000,331.5000000,334.2400000,130276980
GAZP,D,20211201,000000,338.5700000,350.3700000,337.6100000,345.2100000,92906220
GAZP,D,20211202,000000,347.3000000,352.6700000,344.8000000,350.3000000,75360830
GAZP,D,20211203,000000,351.5000000,353.1300000,343.2100000,345.9900000,51627900
GAZP,D,20211206,000000,347.2700000,349.3600000,333.3500000,338.9400000,70924550
GAZP,D,20211207,000000,339.2500000,346.0000000,333.4300000,344.9600000,75507480
GAZP,D,20211208,000000,346.0000000,348.4700000,336.5300000,340.5000000,78321390
GAZP,D,20211209,000000,341.4500000,344.2000000,335.7200000,336.6000000,61406510
GAZP,D,20211210,000000,337.0200000,338.3100000,329.9800000,332.0000000,44642520
GAZP,D,20211213,000000,333.0900000,334.8800000,305.7600000,307.2600000,140577980
GAZP,D,20211214,000000,306.9900000,320.0000000,289.7800000,319.3500000,168672960
GAZP,D,20211215,000000,319.6500000,325.8300000,316.5000000,324.0900000,79742820
GAZP,D,20211216,000000,326.1800000,332.3000000,325.3800000,328.3900000,95469330
GAZP,D,20211217,000000,327.9800000,329.7000000,323.0300000,327.3000000,72099410
GAZP,D,20211220,000000,324.0000000,326.0000000,316.1100000,325.9000000,70795770
GAZP,D,20211221,000000,326.7500000,339.8800000,326.5000000,339.8800000,80061070
GAZP,D,20211222,000000,340.0100000,349.5900000,339.2900000,345.5500000,96809420
GAZP,D,20211223,000000,346.1000000,348.3200000,337.0000000,339.8100000,72129000
GAZP,D,20211224,000000,339.3000000,340.9800000,334.5500000,338.7900000,39005950
GAZP,D,20211227,000000,339.6800000,343.9700000,339.3300000,343.9700000,29925890
GAZP,D,20211228,000000,344.0400000,346.6000000,342.5500000,343.2300000,34848840
GAZP,D,20211229,000000,343.3000000,344.4800000,337.1300000,340.3300000,43005060
GAZP,D,20211230,000000,340.7500000,344.0000000,337.4000000,342.3900000,40853240
GAZP,D,20220103,000000,345.0100000,353.8800000,344.3000000,353.7300000,40057980
GAZP,D,20220104,000000,353.9900000,358.1000000,348.3500000,352.5500000,52693510
GAZP,D,20220105,000000,351.9000000,353.5000000,331.5500000,335.0000000,80969440
GAZP,D,20220106,000000,335.8000000,347.6700000,330.1100000,346.1300000,74572470
GAZP,D,20220110,000000,348.3300000,351.0000000,340.5100000,344.0000000,51047490
GAZP,D,20220111,000000,344.6800000,347.0000000,341.2700000,343.7400000,41961140
GAZP,D,20220112,000000,344.1100000,348.6400000,339.5700000,347.4300000,53443260
GAZP,D,20220113,000000,347.1100000,347.5000000,333.4900000,337.6000000,118257640
GAZP,D,20220114,000000,338.5900000,340.9600000,321.5100000,335.7600000,120546960
GAZP,D,20220117,000000,335.9100000,338.9500000,319.1700000,327.8100000,96925780
GAZP,D,20220118,000000,329.1500000,329.3000000,296.7000000,301.1100000,220096130
GAZP,D,20220119,000000,300.0000000,320.4200000,282.7200000,318.3600000,220036310
GAZP,D,20220120,000000,318.3600000,326.6900000,310.0700000,310.4200000,130261430
GAZP,D,20220121,000000,309.4900000,321.9900000,303.5000000,311.6000000,119002830
GAZP,D,20220124,000000,310.7800000,314.0000000,280.6000000,294.5900000,236346280
GAZP,D,20220125,000000,293.9000000,305.0000000,289.6200000,302.9600000,143155040
GAZP,D,20220126,000000,302.9000000,307.7000000,293.7000000,299.6000000,125060870
GAZP,D,20220127,000000,296.8500000,330.0000000,294.0000000,325.2500000,216008170
GAZP,D,20220128,000000,325.5100000,334.9000000,322.0500000,329.5800000,116166660
GAZP,D,20220131,000000,330.9200000,336.4100000,330.5200000,334.8000000,69903820
GAZP,D,20220201,000000,334.9400000,336.6300000,325.3000000,330.9500000,67998200
GAZP,D,20220202,000000,332.3900000,333.7000000,325.7000000,331.7000000,54751740
GAZP,D,20220203,000000,329.9900000,331.0000000,322.3000000,323.7500000,57592210
GAZP,D,20220204,000000,325.5000000,334.5000000,320.8800000,324.6000000,88647300
GAZP,D,20220207,000000,324.5300000,327.4400000,316.6400000,321.2500000,56290530
GAZP,D,20220208,000000,321.4500000,331.8700000,319.0000000,331.7000000,77965300
GAZP,D,20220209,000000,332.3000000,336.0000000,330.1800000,335.0800000,63254680
GAZP,D,20220210,000000,335.4100000,335.4700000,328.1000000,328.9300000,61929870
GAZP,D,20220211,000000,328.9500000,328.9500000,316.2000000,318.1000000,100750430
GAZP,D,20220214,000000,314.1000000,324.9000000,303.2500000,321.8500000,121203060
GAZP,D,20220215,000000,322.5000000,335.5000000,322.4400000,333.6000000,96875770
GAZP,D,20220216,000000,335.8600000,339.9800000,331.6200000,336.5000000,77128130
GAZP,D,20220217,000000,336.3600000,336.3600000,322.0400000,323.5100000,102149710
GAZP,D,20220218,000000,325.6000000,329.3200000,306.7000000,309.4800000,125452970
GAZP,D,20220221,000000,309.4700000,318.9000000,241.0000000,257.3000000,413243360
GAZP,D,20220222,000000,253.9500000,284.0700000,246.7000000,283.5100000,324922990
GAZP,D,20220224,000000,255.0200000,255.0200000,126.5300000,210.0000000,413550130
GAZP,D,20220225,000000,208.0100000,244.9400000,191.6000000,228.0000000,211877250
GAZP,D,20220324,000000,251.4100000,278.9000000,232.0000000,258.5100000,78576580
GAZP,D,20220325,000000,263.9900000,269.3300000,225.6000000,227.0000000,67191030
GAZP,D,20220328,000000,225.2500000,229.4500000,213.0300000,218.6000000,24680170
GAZP,D,20220329,000000,220.0000000,226.0000000,206.0000000,208.0000000,40309120
GAZP,D,20220330,000000,211.0200000,219.4100000,210.5200000,216.0000000,38559960
GAZP,D,20220331,000000,218.9800000,249.0000000,217.1000000,242.4800000,83862320
GAZP,D,20220401,000000,245.9000000,258.7000000,242.4800000,251.4000000,50423650
GAZP,D,20220404,000000,254.0400000,259.9900000,237.3100000,252.9000000,40926330
GAZP,D,20220405,000000,254.0100000,256.3900000,231.4500000,243.5000000,39850580
GAZP,D,20220406,000000,238.7300000,247.8000000,234.4100000,239.7000000,20530890
GAZP,D,20220407,000000,240.0400000,246.8000000,239.1300000,245.0000000,22367990
GAZP,D,20220408,000000,246.7900000,246.7900000,240.0000000,241.0700000,14799110
GAZP,D,20220411,000000,241.9000000,242.7800000,234.1600000,234.5500000,15637750
GAZP,D,20220412,000000,234.0000000,236.6300000,223.0000000,236.3000000,26615790
GAZP,D,20220413,000000,237.9900000,239.6400000,232.1300000,234.8700000,12663510
GAZP,D,20220414,000000,234.9000000,235.5000000,221.1000000,222.1100000,21906730
GAZP,D,20220415,000000,221.9900000,226.6500000,215.7400000,224.0000000,19933030
GAZP,D,20220418,000000,224.2900000,226.0000000,216.6000000,216.9900000,15584460
GAZP,D,20220419,000000,216.9000000,222.0000000,207.0000000,220.7200000,30669110
GAZP,D,20220420,000000,221.4300000,229.8400000,215.6300000,218.9200000,33569140
GAZP,D,20220421,000000,220.0300000,221.0000000,210.2900000,210.2900000,24292390
GAZP,D,20220422,000000,210.5000000,215.0000000,207.0100000,208.0000000,28717940
GAZP,D,20220425,000000,209.9500000,209.9500000,201.1200000,206.3500000,18767820
GAZP,D,20220426,000000,207.9700000,229.7400000,206.5400000,225.8500000,46484770
GAZP,D,20220427,000000,226.0400000,237.5000000,221.6100000,237.1500000,48219530
GAZP,D,20220428,000000,239.4000000,249.0000000,235.5000000,237.5300000,68889640
GAZP,D,20220429,000000,238.5800000,245.4300000,238.0000000,240.4000000,43392920
GAZP,D,20220504,000000,241.0100000,244.3900000,233.1200000,234.1600000,20919150
GAZP,D,20220505,000000,235.5800000,239.4000000,235.0800000,238.6000000,14781210
GAZP,D,20220506,000000,238.5000000,242.9200000,235.1000000,240.1000000,17969460
GAZP,D,20220511,000000,239.7700000,243.3500000,237.5800000,241.9900000,16477840
GAZP,D,20220512,000000,241.8800000,241.8900000,227.2200000,230.5600000,24397760
GAZP,D,20220513,000000,232.1200000,237.2000000,229.0200000,235.5200000,17291690
GAZP,D,20220516,000000,234.9900000,246.9500000,233.1100000,244.2000000,28222680
GAZP,D,20220517,000000,246.0200000,260.0000000,245.3000000,258.8000000,59981560
GAZP,D,20220518,000000,261.0200000,269.4200000,261.0000000,264.8400000,51077950
GAZP,D,20220519,000000,268.0000000,269.7800000,262.6500000,266.6800000,24769920
GAZP,D,20220520,000000,268.4600000,268.9000000,260.4100000,263.0000000,27534560
GAZP,D,20220523,000000,265.4400000,273.0000000,263.0000000,263.0000000,30528440
GAZP,D,20220524,000000,262.9900000,267.2900000,250.4000000,265.8000000,52284340
GAZP,D,20220525,000000,268.4000000,271.6600000,263.8000000,271.4000000,37448790
GAZP,D,20220526,000000,273.0000000,298.3100000,245.0000000,295.8900000,146238060
GAZP,D,20220527,000000,300.0000000,305.0000000,293.5300000,294.5000000,53491660
GAZP,D,20220530,000000,298.6400000,302.0000000,296.2800000,300.8000000,30751410
GAZP,D,20220531,000000,301.8700000,302.0000000,293.5100000,293.7500000,19483010
GAZP,D,20220601,000000,293.5100000,299.5000000,290.2500000,297.6900000,22504010
GAZP,D,20220602,000000,297.7000000,299.3300000,294.9000000,296.0000000,16674500
GAZP,D,20220603,000000,296.1000000,297.2400000,291.0000000,297.0000000,18742740
GAZP,D,20220606,000000,298.0000000,299.0000000,295.1200000,296.5000000,14699600
GAZP,D,20220607,000000,297.3700000,298.6900000,294.5200000,297.9900000,15656500
GAZP,D,20220608,000000,298.8000000,309.6000000,298.1600000,308.0000000,40345320
GAZP,D,20220609,000000,309.9700000,310.5200000,303.2000000,306.5000000,26287360
GAZP,D,20220610,000000,306.4800000,310.9800000,305.0600000,309.2000000,20321460
GAZP,D,20220614,000000,308.9800000,322.7700000,307.0000000,317.6900000,47441270
GAZP,D,20220615,000000,318.9900000,322.9900000,314.1100000,316.2000000,33652300
GAZP,D,20220616,000000,316.5500000,318.2500000,314.5000000,316.9900000,23466240
GAZP,D,20220617,000000,317.5800000,317.7000000,313.5000000,315.5000000,13072610
GAZP,D,20220620,000000,316.0700000,318.0000000,311.0000000,311.9800000,21010920
GAZP,D,20220621,000000,312.3100000,312.8600000,300.7700000,301.5800000,50618050
GAZP,D,20220622,000000,300.1000000,301.9100000,294.3600000,295.8000000,48668440
GAZP,D,20220623,000000,295.8100000,304.6000000,291.1000000,303.5000000,46696840
GAZP,D,20220624,000000,304.1000000,307.4500000,295.5500000,296.0000000,35835180
GAZP,D,20220627,000000,296.0000000,299.8000000,295.1000000,296.2000000,22091320
GAZP,D,20220628,000000,296.8000000,303.8800000,293.2200000,297.2000000,39920600
GAZP,D,20220629,000000,297.9100000,300.7800000,293.8000000,297.6500000,34110040
GAZP,D,20220630,000000,299.6000000,310.8200000,200.0000000,207.0000000,307937340
GAZP,D,20220701,000000,200.8400000,201.8500000,186.2000000,192.5000000,113621040
GAZP,D,20220704,000000,191.9800000,195.4400000,181.2000000,186.2500000,82829080
GAZP,D,20220705,000000,186.3000000,199.8700000,185.2000000,197.3000000,75951460
GAZP,D,20220706,000000,197.7800000,205.7800000,194.4400000,195.4200000,82287890
GAZP,D,20220707,000000,195.4500000,199.4700000,192.3600000,197.9200000,43640940
GAZP,D,20220708,000000,200.0100000,201.8700000,196.5700000,198.0000000,28708030
GAZP,D,20220711,000000,198.0100000,199.4300000,188.7900000,188.9000000,46480130
GAZP,D,20220712,000000,189.1800000,193.0000000,184.0000000,191.4000000,46422510
GAZP,D,20220713,000000,191.2000000,194.0000000,185.3000000,186.0000000,33168820
GAZP,D,20220714,000000,186.3000000,188.1000000,183.1100000,184.5500000,29072130
GAZP,D,20220715,000000,184.7000000,188.9000000,183.2200000,187.6100000,22991690
GAZP,D,20220718,000000,188.9100000,189.5000000,185.5200000,186.7000000,16920940
GAZP,D,20220719,000000,186.1000000,189.6000000,184.6000000,189.5100000,22570310
GAZP,D,20220720,000000,190.0100000,195.8000000,190.0000000,193.3000000,43995650
GAZP,D,20220721,000000,194.6500000,195.4500000,188.0000000,189.5900000,27751520
GAZP,D,20220722,000000,189.3000000,192.9500000,188.6000000,192.2500000,17804370
GAZP,D,20220725,000000,192.6100000,194.6500000,190.5600000,192.0000000,22091280
GAZP,D,20220726,000000,192.0000000,194.4900000,191.2000000,193.9500000,19947370
GAZP,D,20220727,000000,194.5100000,197.5000000,194.1000000,196.4900000,28307100
GAZP,D,20220728,000000,198.0300000,198.7900000,195.0000000,196.2500000,21848760
GAZP,D,20220729,000000,196.2000000,196.8000000,193.5000000,195.2600000,14108820
GAZP,D,20220801,000000,194.5000000,194.6900000,192.0000000,192.0000000,13034930
GAZP,D,20220802,000000,191.5600000,191.6800000,186.8000000,187.1600000,24267570
GAZP,D,20220803,000000,187.5900000,188.9700000,186.3100000,187.0400000,12005960
GAZP,D,20220804,000000,187.0400000,187.2200000,184.3000000,184.9000000,13313950
GAZP,D,20220805,000000,184.7500000,185.6200000,175.7500000,176.5800000,49069120
